freezing,id,day,condition,sex,cohort,note
3.51,5HT2Afl05a-5,sefla,control,m,PTSD1,
3.08,5HT2Afl05a-7,sefla,control,m,PTSD1,
0.8,5HT2ACre01a-3,sefla,control,m,PTSD1,
0.7,sert26a-3,sefla,control,m,PTSD1,
45.13,5HT2Afl5a-6,sefla,ptsd,m,PTSD1,
38.13,5HT2ACre01a-2,sefla,ptsd,m,PTSD1,
69.56,sert26a-2,sefla,ptsd,m,PTSD1,
59.66,5HT2ACre01a-1,sefla,ptsd,m,PTSD1,
8.94,5HT2Afl05a-5,seflb,control,m,PTSD1,
4.53,5HT2Afl05a-7,seflb,control,m,PTSD1,
2.52,5HT2ACre01a-3,seflb,control,m,PTSD1,
2.14,sert26a-3,seflb,control,m,PTSD1,
13.35,5HT2Afl5a-6,seflb,ptsd,m,PTSD1,
9.45,5HT2ACre01a-2,seflb,ptsd,m,PTSD1,
17.38,sert26a-2,seflb,ptsd,m,PTSD1,
11.34,5HT2ACre01a-1,seflb,ptsd,m,PTSD1,
43.1,5HT2Afl05a-5,recall1,control,m,PTSD1,
35.53,5HT2Afl05a-7,recall1,control,m,PTSD1,
30.1,5HT2ACre01a-3,recall1,control,m,PTSD1,
44.88,sert26a-3,recall1,control,m,PTSD1,
52.36,5HT2Afl5a-6,recall1,ptsd,m,PTSD1,
41.32,5HT2ACre01a-2,recall1,ptsd,m,PTSD1,
64.2,sert26a-2,recall1,ptsd,m,PTSD1,
46.75,5HT2ACre01a-1,recall1,ptsd,m,PTSD1,
22.61,5HT2Afl05a-5,recall2,control,m,PTSD1,
23.94,5HT2Afl05a-7,recall2,control,m,PTSD1,
15.04,5HT2ACre01a-3,recall2,control,m,PTSD1,
39.54,sert26a-3,recall2,control,m,PTSD1,
26.38,5HT2Afl5a-6,recall2,ptsd,m,PTSD1,
15.41,5HT2ACre01a-2,recall2,ptsd,m,PTSD1,
40.34,sert26a-2,recall2,ptsd,m,PTSD1,
21.28,5HT2ACre01a-1,recall2,ptsd,m,PTSD1,
37.22,5HT2Afl05a-5,recall3,control,m,PTSD1,
36.42,5HT2Afl05a-7,recall3,control,m,PTSD1,
4.1,5HT2ACre01a-3,recall3,control,m,PTSD1,
43.19,sert26a-3,recall3,control,m,PTSD1,
38.91,5HT2Afl5a-6,recall3,ptsd,m,PTSD1,
2.23,5HT2ACre01a-2,recall3,ptsd,m,PTSD1,
22.8,sert26a-2,recall3,ptsd,m,PTSD1,
NA,5HT2ACre01a-1,recall3,ptsd,m,PTSD1,
26.09,5HT2Afl05a-5,recall4,control,m,PTSD1,
46.04,5HT2Afl05a-7,recall4,control,m,PTSD1,
4.99,5HT2ACre01a-3,recall4,control,m,PTSD1,
46.93,sert26a-3,recall4,control,m,PTSD1,
32.5,5HT2Afl5a-6,recall4,ptsd,m,PTSD1,
7.03,5HT2ACre01a-2,recall4,ptsd,m,PTSD1,
34.55,sert26a-2,recall4,ptsd,m,PTSD1,
NA,5HT2ACre01a-1,recall4,ptsd,m,PTSD1,
43.33,5HT2Afl05a-5,recall5,control,m,PTSD1,
47.32,5HT2Afl05a-7,recall5,control,m,PTSD1,
3.21,5HT2ACre01a-3,recall5,control,m,PTSD1,
7.85,sert26a-3,recall5,control,m,PTSD1,
47.84,5HT2Afl5a-6,recall5,ptsd,m,PTSD1,
11.77,5HT2ACre01a-2,recall5,ptsd,m,PTSD1,
38.2,sert26a-2,recall5,ptsd,m,PTSD1,
NA,5HT2ACre01a-1,recall5,ptsd,m,PTSD1,
10.814,5HT2Afl05a-5,recall6,control,m,PTSD1,
48.81533333,5HT2Afl05a-7,recall6,control,m,PTSD1,
1.04,5HT2ACre01a-3,recall6,control,m,PTSD1,
3.841666667,sert26a-3,recall6,control,m,PTSD1,
48.28966667,5HT2Afl5a-6,recall6,ptsd,m,PTSD1,
5.771666667,5HT2ACre01a-2,recall6,ptsd,m,PTSD1,
41.39433333,sert26a-2,recall6,ptsd,m,PTSD1,
NA,5HT2ACre01a-1,recall6,ptsd,m,PTSD1,
6.328,5HT2Afl05a-5,recall7,control,m,PTSD1,
37.08,5HT2Afl05a-7,recall7,control,m,PTSD1,
0.534,5HT2ACre01a-3,recall7,control,m,PTSD1,
6.94,sert26a-3,recall7,control,m,PTSD1,
13.998,5HT2Afl5a-6,recall7,ptsd,m,PTSD1,
5.522,5HT2ACre01a-2,recall7,ptsd,m,PTSD1,
24.102,sert26a-2,recall7,ptsd,m,PTSD1,
NA,5HT2ACre01a-1,recall7,ptsd,m,PTSD1,
