freezing,id,day,condition,sex,cohort,behaviors,note
5.026333333,81,sefla,control,m,PTSD2,,
8.831166667,82,sefla,control,m,PTSD2,,
2.603,91,sefla,control,m,PTSD2,,
1.9125,92,sefla,control,m,PTSD2,,
50.63883333,84,sefla,ptsd,m,PTSD2,,
39.629,93,sefla,ptsd,m,PTSD2,,
47.8225,94,sefla,ptsd,m,PTSD2,,
31.6505,85,sefla,ptsd,m,PTSD2,,
48.938,95,sefla,ptsd,m,PTSD2,,
54.364,83,sefla,ptsd,m,PTSD2,,
16.895,83,seflb,ptsd,m,PTSD2,,
8.6325,93,seflb,ptsd,m,PTSD2,,
0.445,81,seflb,control,m,PTSD2,,
2.73,91,seflb,control,m,PTSD2,,
4.2,82,seflb,control,m,PTSD2,,
2.5325,92,seflb,control,m,PTSD2,,
18.2575,94,seflb,ptsd,m,PTSD2,,
10.1425,84,seflb,ptsd,m,PTSD2,,
15.39,95,seflb,ptsd,m,PTSD2,,
18.38,85,seflb,ptsd,m,PTSD2,,
38.532,83,recall1,ptsd,m,PTSD2,,
24.046,93,recall1,ptsd,m,PTSD2,,
8.284,81,recall1,control,m,PTSD2,,
14.974,91,recall1,control,m,PTSD2,,
28.798,82,recall1,control,m,PTSD2,,
14.418,92,recall1,control,m,PTSD2,,
38.234,94,recall1,ptsd,m,PTSD2,,
25.39,84,recall1,ptsd,m,PTSD2,,
49.51024043,95,recall1,ptsd,m,PTSD2,,
31.894,85,recall1,ptsd,m,PTSD2,,
27.71,83,recall2,ptsd,m,PTSD2,,
15.978,93,recall2,ptsd,m,PTSD2,,
7.12,81,recall2,control,m,PTSD2,,
11.684,91,recall2,control,m,PTSD2,,
11.136,82,recall2,control,m,PTSD2,,
3.114,92,recall2,control,m,PTSD2,,
19.076,94,recall2,ptsd,m,PTSD2,,
27.24,84,recall2,ptsd,m,PTSD2,,
26.59974906,95,recall2,ptsd,m,PTSD2,,
18.974,85,recall2,ptsd,m,PTSD2,,
12.034,83,recall3,ptsd,m,PTSD2,,
17.3,93,recall3,ptsd,m,PTSD2,,
7.572,81,recall3,control,m,PTSD2,,
9.796,91,recall3,control,m,PTSD2,,
3.22,82,recall3,control,m,PTSD2,,
2.942,92,recall3,control,m,PTSD2,,
6.234,94,recall3,ptsd,m,PTSD2,,
11.234,84,recall3,ptsd,m,PTSD2,,
21.402,95,recall3,ptsd,m,PTSD2,,
9.608938547,85,recall3,ptsd,m,PTSD2,,
25.842,83,recall4,ptsd,m,PTSD2,,
7.398,93,recall4,ptsd,m,PTSD2,,
6.61,81,recall4,control,m,PTSD2,,
7.304,91,recall4,control,m,PTSD2,,
2.237136465,82,recall4,control,m,PTSD2,,
14.89,92,recall4,control,m,PTSD2,,
11.684,94,recall4,ptsd,m,PTSD2,,
5.618,84,recall4,ptsd,m,PTSD2,,
22.79957582,95,recall4,ptsd,m,PTSD2,,
13.41077086,85,recall4,ptsd,m,PTSD2,,
8.378,83,recall5,ptsd,m,PTSD2,,
8.824,93,recall5,ptsd,m,PTSD2,,
3.918,81,recall5,control,m,PTSD2,,
4.004,91,recall5,control,m,PTSD2,,
3.74,82,recall5,control,m,PTSD2,,
22.816,94,recall5,ptsd,m,PTSD2,,
0.444,84,recall5,ptsd,m,PTSD2,,
17.64,95,recall5,ptsd,m,PTSD2,,
4.19,85,recall5,ptsd,m,PTSD2,,
2.406,92,recall5,control,m,PTSD2,,
4.286333333,83,recall6,ptsd,m,PTSD2,,
4.049,93,recall6,ptsd,m,PTSD2,,
1.409333333,81,recall6,control,m,PTSD2,,
2.625333333,91,recall6,control,m,PTSD2,,
0.846666667,82,recall6,control,m,PTSD2,,
8.366333333,92,recall6,control,m,PTSD2,,
5.637666667,94,recall6,ptsd,m,PTSD2,,
2.862,84,recall6,ptsd,m,PTSD2,,
13.21466667,95,recall6,ptsd,m,PTSD2,,
4.497,85,recall6,ptsd,m,PTSD2,,
